node_id,cx,cy,i,j,seed_row,seed_col,col_hat_float,row_hat_float,col_hat_round,row_hat_round,final_row,final_col,source,notes
n673,1422.233564,1215.168952,426,439,24,29,28.372836,24.418472,28,24,24,29,seed,"SEED_CONFLICT seed=(24,29) computed=(24,28)"
n674,1378.708498,1216.927519,421,441,24,28,28.042041,24.543420,28,25,24,28,seed,"SEED_CONFLICT seed=(24,28) computed=(25,28)"
n675,1525.174951,1164.701911,476,426,23,31,31.680796,23.606308,32,24,23,31,seed,"SEED_CONFLICT seed=(23,31) computed=(24,32)"
n676,1428.151944,1260.673377,441,447,,,29.365224,24.918265,29,25,25,29,computed,
n677,1379.480856,1261.036631,423,448,,,28.174359,24.980740,28,25,25,28,computed,
n678,1478.522004,1261.368663,464,449,,,30.886886,25.043214,31,25,25,31,computed,
n679,1574.062531,1311.703028,491,467,,,32.673184,26.167749,33,26,26,33,computed,
n680,1532.107700,1314.874350,485,471,,,32.276229,26.417646,32,26,26,32,computed,
n681,1527.414420,1358.901226,479,478,,,31.879273,26.854965,32,27,27,32,computed,
n682,1427.496795,1307.308764,440,462,,,29.299065,25.855378,29,26,26,29,computed,
n683,1377.620800,1356.210379,419,475,,,27.909722,26.667542,28,27,27,28,computed,
n684,1427.076779,1356.890381,439,477,,,29.232906,26.792491,29,27,27,29,computed,
n685,1378.786898,1405.615540,422,488,,,28.108200,27.479706,28,27,27,28,computed,
n686,1472.067564,1308.481295,455,463,,,30.291453,25.917852,30,26,26,30,computed,
n687,1475.719921,1359.020701,463,479,,,30.820726,26.917439,31,27,27,31,computed,
n688,1330.115810,1405.978794,402,489,28,27,26.785016,27.542181,27,28,28,27,seed,
n689,1429.156957,1406.310826,443,490,,,29.497543,27.604655,29,28,28,29,computed,
n690,1474.059759,1404.650664,457,487,,,30.423771,27.417232,30,27,27,30,computed,
n691,1377.170025,1306.204630,418,460,,,27.843563,25.730430,28,26,26,28,computed,
n692,1335.215194,1309.375952,406,464,26,27,27.049653,25.980326,27,26,26,27,seed,
n693,1330.521914,1353.402827,403,473,27,27,26.851175,26.542594,27,27,27,27,seed,
n694,1575.349933,1452.358997,496,508,,,33.003980,28.729190,33,29,29,33,computed,
n695,1526.678845,1452.722251,477,509,,,31.746955,28.791664,32,29,29,32,computed,
n696,1625.719992,1453.054284,513,510,,,34.128686,28.854138,34,29,29,34,computed,
n697,1670.622794,1451.394122,528,507,,,35.121074,28.666716,35,29,29,35,computed,
n698,1378.457427,1446.860599,420,503,,,27.975881,28.416819,28,28,28,28,computed,
n699,1329.786339,1447.223853,401,504,29,27,26.718857,28.479293,27,28,29,27,seed,"SEED_CONFLICT seed=(29,27) computed=(28,27)"
n700,1428.827486,1447.555885,442,505,,,29.431383,28.541767,29,29,29,29,computed,
n701,1473.730288,1445.895723,456,501,,,30.357612,28.291871,30,28,28,30,computed,
n702,1577.058063,1507.870671,499,520,,,33.202457,29.478880,33,29,29,33,computed,
n703,1528.386975,1508.233925,482,521,,,32.077751,29.541354,32,30,30,32,computed,
n704,1627.428122,1508.565957,516,522,,,34.327164,29.603828,34,30,30,34,computed,
n705,1672.330924,1506.905795,532,519,,,35.385711,29.416406,35,29,29,35,computed,
n706,1380.165557,1502.372272,425,514,,,28.306677,29.104035,28,29,29,28,computed,
n707,1331.494469,1502.735526,405,515,,,26.983493,29.166509,27,29,29,27,computed,
n708,1430.535616,1503.067559,445,517,,,29.629861,29.291457,30,29,29,30,computed,
n709,1475.438418,1501.407396,462,513,,,30.754567,29.041561,31,29,29,31,computed,
n710,1576.728592,1549.115730,498,531,,,33.136298,30.166096,33,30,30,33,computed,
n711,1528.057504,1549.478984,480,532,,,31.945433,30.228570,32,30,30,32,computed,
n712,1627.098651,1549.811016,515,533,,,34.261004,30.291044,34,30,30,34,computed,
n713,1672.001453,1548.150854,531,530,,,35.319551,30.103621,35,30,30,35,computed,
n714,1379.836086,1543.617331,424,524,,,28.240518,29.728776,28,30,30,28,computed,
n715,1331.164998,1543.980585,404,525,,,26.917334,29.791251,27,30,30,27,computed,
n716,1430.206145,1544.312618,444,526,,,29.563702,29.853725,30,30,30,30,computed,
n717,1475.108947,1542.652456,461,523,,,30.688408,29.666302,31,30,30,31,computed,
n718,1474.725715,338.116705,459,44,,,30.556090,-0.258825,31,0,0,31,computed,
